Order Date,Ship Mode,Customer Name,Segment,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2013/12/27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
2013/12/27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
2013/12/27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
2013/12/27,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
2015/9/11,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
2014/7/18,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
2015/9/20,Standard Class,Erin Smith,Corporate,Melbourne,Florida,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
2012/10/20,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
2013/4/18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
2013/4/18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
2013/4/18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
2013/4/18,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
2014/12/12,Standard Class,Janet Molinari,Corporate,New York City,New York,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
2014/12/12,Standard Class,Janet Molinari,Corporate,New York City,New York,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
2014/6/18,First Class,Ted Butterfield,Consumer,Troy,New York,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
2013/11/24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
2013/11/24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
2013/11/24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
2013/11/24,Standard Class,Kunst Miller,Consumer,Los Angeles,California,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
2013/4/30,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
2012/12/5,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
2012/12/5,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
2014/6/5,First Class,Karen Daniels,Consumer,Springfield,Virginia,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
2014/9/19,Standard Class,Henry MacAllister,Consumer,New York City,New York,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
2015/9/15,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
2015/12/10,First Class,Ken Brennan,Corporate,Houston,Texas,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
2015/12/10,First Class,Ken Brennan,Corporate,Houston,Texas,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
2015/12/10,First Class,Ken Brennan,Corporate,Houston,Texas,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
2012/11/26,Second Class,Joel Eaton,Consumer,Houston,Texas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
2012/10/12,Standard Class,Duane Noonan,Consumer,San Francisco,California,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
2012/10/12,Standard Class,Duane Noonan,Consumer,San Francisco,California,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
2013/9/3,Standard Class,Julie Creighton,Corporate,Durham,North Carolina,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
2015/11/14,First Class,Christopher Schild,Home Office,Chicago,Illinois,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
2014/4/6,Second Class,Gary Mitchum,Home Office,Houston,Texas,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
2014/9/18,Standard Class,Jim Sink,Corporate,Los Angeles,California,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
2014/9/18,Standard Class,Jim Sink,Corporate,Los Angeles,California,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
2014/9/18,Standard Class,Jim Sink,Corporate,Los Angeles,California,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
2015/11/10,Second Class,Parhena Norris,Home Office,New York City,New York,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
2015/6/18,First Class,Katherine Ducich,Consumer,San Francisco,California,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
2014/8/30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
2014/8/30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
2014/8/30,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
2015/11/24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
2015/11/24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
2015/11/24,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
2013/10/15,Standard Class,Pete Armstrong,Home Office,Orland Park,Illinois,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
2015/12/26,Standard Class,Cynthia Voltz,Corporate,New York City,New York,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
2012/8/25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
2012/8/25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
2012/8/25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
2012/8/25,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
2013/3/2,Standard Class,Dave Kipp,Consumer,Seattle,Washington,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
2012/12/26,Second Class,Alan Dominguez,Home Office,Houston,Texas,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
2012/9/20,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
2015/11/6,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
2015/11/6,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
2014/11/7,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
2014/11/7,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
2015/2/3,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
2015/2/3,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
2015/2/3,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464
2014/10/14,Standard Class,Lena Creighton,Consumer,Roseville,California,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
2014/9/6,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
2015/9/19,Standard Class,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Art,Newell 343,8.82,3,0,2.3814
2015/9/19,Standard Class,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
2015/9/19,Standard Class,Sally Hughsby,Corporate,San Francisco,California,Office Supplies,Paper,Xerox 1911,143.7,3,0,68.976
2013/9/7,Standard Class,Helen Andreada,Consumer,Pasadena,California,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0,20.1579
2012/10/22,Standard Class,Maureen Gastineau,Home Office,Newark,Ohio,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
2014/12/6,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015
2014/12/6,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
2014/12/6,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
2014/12/6,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
2014/3/14,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
2014/3/14,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
2013/5/31,First Class,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
2013/5/31,First Class,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Paper,Xerox 1883,105.52,4,0,48.5392
2013/5/31,First Class,Stephanie Phelps,Corporate,San Jose,California,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
2013/5/28,Standard Class,Neil Knudson,Home Office,Seattle,Washington,Office Supplies,Art,Newell 311,6.63,3,0,1.7901
2012/3/1,Second Class,Dave Brooks,Consumer,Seattle,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
2014/5/12,First Class,Ted Trevino,Consumer,Los Angeles,California,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.691
2013/12/28,Second Class,Eric Murdock,Consumer,Philadelphia,Pennsylvania,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
2014/11/8,Standard Class,Max Jones,Consumer,Seattle,Washington,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
2012/9/8,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
2012/8/5,Standard Class,Chad Sievert,Consumer,Los Angeles,California,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418
2012/8/5,Standard Class,Chad Sievert,Consumer,Los Angeles,California,Office Supplies,Paper,Xerox 1913,110.96,2,0,53.2608
2012/8/5,Standard Class,Chad Sievert,Consumer,Los Angeles,California,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
2012/9/14,Standard Class,Jennifer Braxton,Corporate,Chicago,Illinois,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12
2012/9/14,Standard Class,Jennifer Braxton,Corporate,Chicago,Illinois,Office Supplies,Labels,Avery 51,20.16,4,0.2,6.552
2015/4/22,Second Class,Shirley Jackson,Consumer,Houston,Texas,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
2013/11/21,Second Class,Joel Eaton,Consumer,Newark,Ohio,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
2013/11/21,Second Class,Joel Eaton,Consumer,Newark,Ohio,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715
2013/12/15,Standard Class,Jim Kriz,Home Office,New York City,New York,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0,1.4104
2012/12/5,Second Class,David Kendrick,Corporate,Decatur,Illinois,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612
2012/12/5,Second Class,David Kendrick,Corporate,Decatur,Illinois,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395
2012/8/26,Standard Class,Frank Merwin,Home Office,Los Angeles,California,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984
2014/7/17,Standard Class,Alice McCarthy,Corporate,Grand Prairie,Texas,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224
2014/7/17,Standard Class,Alice McCarthy,Corporate,Grand Prairie,Texas,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255
2013/10/12,First Class,Mark Packer,Home Office,New York City,New York,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
2013/10/12,First Class,Mark Packer,Home Office,New York City,New York,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,20.0928
2013/10/12,First Class,Mark Packer,Home Office,New York City,New York,Office Supplies,Paper,Xerox 205,51.84,8,0,24.8832
2013/10/12,First Class,Mark Packer,Home Office,New York City,New York,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
2013/10/12,First Class,Mark Packer,Home Office,New York City,New York,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.567
2013/10/31,Standard Class,Mary Zewe,Corporate,Redlands,California,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0,6.7116
2012/3/21,Standard Class,Cassandra Brandow,Consumer,Hamilton,Ohio,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038
2012/3/21,Standard Class,Cassandra Brandow,Consumer,Hamilton,Ohio,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,1.5876
2015/11/7,Standard Class,Valerie Mitchum,Home Office,Westfield,New Jersey,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276
2015/7/7,Standard Class,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586
2015/7/7,Standard Class,Fred Hopkins,Corporate,Philadelphia,Pennsylvania,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
2015/6/25,Standard Class,Maria Bertelson,Consumer,Akron,Ohio,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
2015/12/18,Second Class,Logan Currie,Consumer,Dallas,Texas,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
2015/12/10,Standard Class,Laurel Elliston,Consumer,Whittier,California,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
2015/12/2,Standard Class,Joseph Holt,Consumer,Saginaw,Michigan,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,0,5.8744
2015/12/2,Standard Class,Joseph Holt,Consumer,Saginaw,Michigan,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
2015/12/2,Standard Class,Joseph Holt,Consumer,Saginaw,Michigan,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
2015/12/2,Standard Class,Joseph Holt,Consumer,Saginaw,Michigan,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
2015/12/2,Standard Class,Joseph Holt,Consumer,Saginaw,Michigan,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
